央视频道,#genre#
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8#http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV2,http://118.193.115.2:9901/tsfile/live/0002_1.m3u8?key=txiptv#http://218.13.170.98:9901/tsfile/live/0002_1.m3u8#http://112.27.235.94:8000/hls/2/index.m3u8#http://182.150.23.74:808/hls/2/index.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8#http://182.150.23.74:808/hls/3/index.m3u8#http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8#http://183.11.239.36:808/hls/22/index.m3u8#https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8#http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV5,http://182.150.23.74:808/hls/5/index.m3u8#http://61.136.172.236:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8#http://182.150.23.74:808/hls/16/index.m3u8#http://61.136.172.236:9901/tsfile/live/0016_1.m3u8#http://cssbyd.imwork.net:8082/hls/6/index.m3u8
CCTV6,http://182.150.23.74:808/hls/6/index.m3u8#http://61.136.172.236:9901/tsfile/live/0006_1.m3u8
CCTV7,http://183.11.239.36:808/hls/25/index.m3u8#http://112.27.235.94:8000/hls/8/index.m3u8
CCTV8,http://61.136.172.236:9901/tsfile/live/0008_1.m3u8#http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://124.116.183.146:9901/tsfile/live/0008_1.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8#http://112.27.235.94:8000/hls/10/index.m3u8#http://124.116.183.146:9901/tsfile/live/0009_1.m3u8
CCTV10,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8#http://112.27.235.94:8000/hls/11/index.m3u8#http://124.116.183.146:9901/tsfile/live/0010_1.m3u8
CCTV11,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv#http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0011_1.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8#http://222.223.41.27:8888/hls/12/index.m3u8#http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0012_1.m3u8
CCTV13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0013_1.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8#http://61.136.172.236:9901/tsfile/live/0014_1.m3u8#http://124.116.183.146:9901/tsfile/live/0014_1.m3u8
CCTV16,http://183.11.239.36:808/hls/169/index.m3u8#http://gmxw.7766.org:808/hls/169/index.m3u8
CCTV17,http://183.11.239.36:808/hls/35/index.m3u8
CCTV世界地理,https://shcm-stream-cf1.stream.264788.xyz/cms001/ch00000090990000001620/index.m3u8?streamid=8a034b40397504e25b3775c772237996&streamkey=01vY5fRxC8VyKg4oq30vfikHXTCAKySLP29l6OG91kQlzDttHgzNLkUw5kivm3PfNsVHJv5FgdsPBYFYI2IWpt7tfRCuFHqLT2pvX67ubMds8jl2DHtvOh0&token=1775754349-4f33f4f84a4abeba-0-91687dc8c9325092efa1d00f330d2710
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CCTV4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8
卫视频道,#genre#
安徽卫视,http://182.150.23.74:808/hls/25/index.m3u8#http://61.136.172.236:9901/tsfile/live/0130_1.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8#http://61.136.172.236:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://218.13.170.98:9901/tsfile/live/0115_1.m3u8#http://183.11.239.36:808/hls/7/index.m3u8
东方卫视,http://218.13.170.98:9901/tsfile/live/1010_1.m3u8#https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0137_1.m3u8
甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8#http://live.zohi.tv/video/s10001-fztv-3/index.m3u8#http://218.13.170.98:9901/tsfile/live/0141_1.m3u8
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8
广西卫视,http://222.134.245.16:9901/tsfile/live/0113_1.m3u8#http://61.136.172.236:9901/tsfile/live/0113_1.m3u8#http://61.136.172.236:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0120_1.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8#http://61.136.172.236:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8#http://61.136.172.236:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0132_1.m3u8
